"","sim","year","w","slope","intercept","y","scenario","sim_total","yr_mean","above_mean"
"1320",44,30,-2.22584964680154,0,37.8301825991366,40.0560322459381,"Stable",44,31.8466819784736,1
"1321",45,1,0.138926051932545,0,12.9068917245604,12.7679656726279,"Stable",45,32.0842185012449,0
"1322",45,2,0.924053706259652,0,12.9068917245604,11.9828380183008,"Stable",45,31.4832711680668,0
"1323",45,3,1.90547044354775,0,12.9068917245604,11.0014212810127,"Stable",45,31.3616868060296,0
"1324",45,4,-1.93695583455973,0,12.9068917245604,14.8438475591201,"Stable",45,32.0495109836764,0
"1325",45,5,-0.519593231084244,0,12.9068917245604,13.4264849556447,"Stable",45,31.3525657026439,0
"1326",45,6,-1.0344239750872,0,12.9068917245604,13.9413156996476,"Stable",45,31.2564941949427,0
"1327",45,7,0.259950179129161,0,12.9068917245604,12.6469415454312,"Stable",45,31.8500199653883,0
"1328",45,8,1.02534088494356,0,12.9068917245604,11.8815508396168,"Stable",45,31.3958010720882,0
"1329",45,9,-2.96537432656654,0,12.9068917245604,15.8722660511269,"Stable",45,32.4224721270917,0
"1330",45,10,1.7787705198575,0,12.9068917245604,11.1281212047029,"Stable",45,31.5465679109786,0
"1331",45,11,-0.764688369032116,0,12.9068917245604,13.6715800935925,"Stable",45,32.080766685482,0
"1332",45,12,0.462353511587102,0,12.9068917245604,12.4445382129733,"Stable",45,31.671113610724,0
"1333",45,13,-1.54793491983654,0,12.9068917245604,14.4548266443969,"Stable",45,32.2273782139961,0
"1334",45,14,2.29203873037949,0,12.9068917245604,10.6148529941809,"Stable",45,31.1563238898745,0
"1335",45,15,-1.35833018325432,0,12.9068917245604,14.2652219078147,"Stable",45,31.9078244040366,0
"1336",45,16,-0.170462669403072,0,12.9068917245604,13.0773543939635,"Stable",45,31.556215684359,0
"1337",45,17,2.61261289963701,0,12.9068917245604,10.2942788249234,"Stable",45,31.6441451950973,0
"1338",45,18,2.78266013080079,0,12.9068917245604,10.1242315937596,"Stable",45,31.9758508691779,0
"1339",45,19,0.058957669237035,0,12.9068917245604,12.8479340553234,"Stable",45,31.7840061018813,0
"1340",45,20,0.0645385817634399,0,12.9068917245604,12.842353142797,"Stable",45,32.237239192334,0
"1341",45,21,1.75358498432199,0,12.9068917245604,11.1533067402384,"Stable",45,31.8684074293129,0
"1342",45,22,0.858776518911331,0,12.9068917245604,12.0481152056491,"Stable",45,31.8223361056448,0
"1343",45,23,1.19200514418551,0,12.9068917245604,11.7148865803749,"Stable",45,31.6972658621526,0
"1344",45,24,-2.81097931727804,0,12.9068917245604,15.7178710418384,"Stable",45,31.4045344138022,0
"1345",45,25,4.47315096359101,0,12.9068917245604,8.4337407609694,"Stable",45,32.1130306462067,0
"1346",45,26,-0.636715456394818,0,12.9068917245604,13.5436071809552,"Stable",45,31.7290013318459,0
"1347",45,27,-1.96297199893851,0,12.9068917245604,14.8698637234989,"Stable",45,31.9847616379826,0
"1348",45,28,-1.75705411207674,0,12.9068917245604,14.6639458366371,"Stable",45,31.530508666158,0
"1349",45,29,-1.95584399769243,0,12.9068917245604,14.8627357222528,"Stable",45,31.5486864877245,0
"1350",45,30,-0.45954451328836,0,12.9068917245604,13.3664362378488,"Stable",45,31.8466819784736,0
"1351",46,1,0.83019246055302,0,5.27644077548757,4.44624831493455,"Stable",46,32.0842185012449,0
"1352",46,2,0.425949244447665,0,5.27644077548757,4.85049153103991,"Stable",46,31.4832711680668,0
"1353",46,3,0.0666147268890187,0,5.27644077548757,5.20982604859855,"Stable",46,31.3616868060296,0
"1354",46,4,-0.0859308788779352,0,5.27644077548757,5.36237165436551,"Stable",46,32.0495109836764,0
"1355",46,5,-0.190976460914509,0,5.27644077548757,5.46741723640208,"Stable",46,31.3525657026439,0
"1356",46,6,0.235396580059548,0,5.27644077548757,5.04104419542802,"Stable",46,31.2564941949427,0
"1357",46,7,0.610844640305259,0,5.27644077548757,4.66559613518231,"Stable",46,31.8500199653883,0
"1358",46,8,-0.887867344502457,0,5.27644077548757,6.16430811999003,"Stable",46,31.3958010720882,0
"1359",46,9,0.169262169459762,0,5.27644077548757,5.10717860602781,"Stable",46,32.4224721270917,0
"1360",46,10,-0.371216315722504,0,5.27644077548757,5.64765709121008,"Stable",46,31.5465679109786,0
"1361",46,11,-0.84400952863208,0,5.27644077548757,6.12045030411965,"Stable",46,32.080766685482,0
"1362",46,12,-0.543459313845723,0,5.27644077548757,5.8199000893333,"Stable",46,31.671113610724,0
"1363",46,13,-0.370313507239592,0,5.27644077548757,5.64675428272716,"Stable",46,32.2273782139961,0
"1364",46,14,0.029954277126695,0,5.27644077548757,5.24648649836088,"Stable",46,31.1563238898745,0
"1365",46,15,0.541095843364092,0,5.27644077548757,4.73534493212348,"Stable",46,31.9078244040366,0
"1366",46,16,-1.79662778198856,0,5.27644077548757,7.07306855747613,"Stable",46,31.556215684359,0
"1367",46,17,1.19696268326468,0,5.27644077548757,4.07947809222289,"Stable",46,31.6441451950973,0
"1368",46,18,-0.326765037796621,0,5.27644077548757,5.60320581328419,"Stable",46,31.9758508691779,0
